job_title;level;min_salary;max_salary;job_requirement;job_description;employer;published_at;employer_rating
программист python (junior-middle);junior;60000.0;100000;VBA,SQL,Python,HTML,CSS;Привет! Мы команда “DreamX” - быстрорастущий онлайн-проект в сфере маркетплейсов. За 2 года мы вышли в ТОП 3 селлеров в подкатегориях электроники и бытовой техники. Имеем более 100 моделей в товарной матрице с оборотом более 40 млн рублей в месяц. В связи с расширением ищем в команду Junior- Middle программиста Python Кто нам нужен:   Ты знаешь Python   Ты работал с в e-commerce сфере и с маркетплейсами    Умеешь планировать свое время и свято чтишь дедлайны   Знание VBA и умение писать макросы для Excel   Что нужно делать:   Поддерживать текущие автоматизации и писать ботов   Составлять Excel таблицы с макросами и сложными формулами   Что мы предлагаем:   Удаленную работу на фултайм   Достойное вознаграждение (уровень обсуждается с финальным кандидатом)   Выплаты два раза в месяц   Гибкий график   Дочитал до конца? Пришли в сопроводительном письме ссылку на GitHub.;Dreamx (ИП Саченков Тимофей Вячеславович);2023-06-10;
младший специалист отдела разработки (python) / специалист по парсингу данных;;;70000.0;Python,Django Framework,Linux,PostgreSQL,Git;"IT компания MA - крупнейший провайдер данных о товарах и ценах для федеральных розничных сетей. Компания основана в 2012 году. С 2020 резидент Сколково.У нас есть 2 продукта:  MA.works - наш основной текущий бизнес. Большой и сложный программный комплекс, который позволяет нам собирать и обрабатывать миллионы строк данных для корпоративных заказчиков. MA.direct - наш новый продукт. SaaS решение для малого и среднего бизнеса для управления собственным временным линейным персоналом и последующей обработки данных.  Мы ищем младшего специалиста отдела разработки с начальными знаниями Python. Основная задача - поддерживать и развивать проект компании по парсингу ценовых данных с сайтов и из мобильных приложений. Работать предстоит с серверной платформой (Linux / PostgreSQL / Python / Django / Celery), развернутой в экосистеме Яндекс.Облако. Что обязательно нужно знать и уметь:   Python на базовом уровне (циклы, функции, структуры данных, ООП); Что такое Header, Cookie и понимание как они участвуют в работе сайта/сервиса; Что такое HTML, умение его читать, представление о том, как работают css селекторы; Базовое знание Django/Celery; Базовое знание UNIX-систем; Опыт работы с PostgreSQL.  Круто, если есть:   Примеры ваших парсеров на github; Опыт администрирования БД (создание таблиц/индексов, дамп таблиц, оптимизация); Опыт работы с Redis или похожими key-value хранилищами данных; Знания протокола HTTP и базовое знание SSL; Опыт работы с cURL и прокси-сервисами; Опыт работы с JavaScript.  Что мы предлагаем:  Работа в стабильной IT компании (есть аккредитация в Минцифре) с технологичными продуктами. Мы устойчиво растем уже 8 лет; Официальное трудоустройство по ТК РФ, полностью &quot;белая&quot; зарплата; Удобный график с гибким началом рабочего дня; Возможность работать удаленно, по гибридному графику или в офисе; Обучение и развитие: компания компенсирует профессиональное обучение; Ежемесячная компенсация каршеринга; Небольшая, очень бодрая и целеустремленная команда, которой мы гордимся; Реальная возможность влиять на результаты и быстро воплощать идеи в жизнь; Отсутствие дресс-кода, бюрократии, формализма в процессах и коммуникациях. ";MillionAgents;2023-06-10;
junior/middle backend/hardware разработчик, python;junior;80000.0;140000;PostgreSQL,Python 3.х,Git,Знание английского языка;Продукт Разработка бэкенда, инструментов для связи и управления и другого программного обеспечения для синтезатора олигонуклеотидов, его интеграция в существующий ERP. В основе: на бэкенде мы используем Python, Postgres. На фронте Vue.js. О команде разработчиков С кодом каждый день работают около 10 человек. В среднем, у сотрудников отдела разработки 3-5 лет опыта работы в профессии. В командах нет строгого деления по зонам ответственности. Каждый занимается тем, что может сделать лучше других. Коллеги всегда помогут найти хорошее решение, поделятся опытом, объяснят нюансы. Приветствуется задавать вопросы и делиться знаниями. В компании мы занимаемся химическим производством в лабораторных масштабах, а также разрабатываем продвинутое лабораторное оборудование. В составе нашей команды Вам предстоит заниматься разработкой бэкенда и других микросервисов синтезатора для олигонуклеотидного синтеза. Если работа интересна, но химия и железо это не Ваша область - не переживайте, у нас уже есть опыт в разработке такого оборудования, расскажем из чего оно состоит и как работает (или как должно работать). Обязанности:  Принимать участие в проектировании и написании новых частей системы, продолжая разработку:  бэкенда библиотеки связи с платой управления синтезатором языка человекочитаемых протоколов синтеза и пайплайна их обработки до уровня железа симулятора/цифрового двойника синтезатора   Писать юнит-тесты на свой и чужой код. Поддерживать, чинить и масштабировать имеющуюся функциональность. Вести документацию разработок в корпоративной WIKI.  Требования:  Знание и опыт разработки на Python 3.х Опыт работы с SQL базами данных (желательно PostgreSQL) Понимание принципов работы RESTful API Понимание асинхронности в Python Знание основных алгоритмов и структур данных, умение оценивать алгоритмическую сложность задачи Опыт работы с системами контроля версий (Git) Английский язык на уровне чтения технической документации  Будет плюсом, если вы:   Разрабатывали веб-приложения с использованием FastAPI Работали с контейнеризацией (Docker, Kubernetes) Работали с CI/CD Умеете писать юнит-тесты в Python Имеете знания в области электроники, электротехники, механики Условия:  официальное трудоустройство, полная занятость, график работы по согласованию комфортное рабочее место, хорошее оснащение офиса и лабораторий 12 минут пешком от м. Кунцевская много разнообразного оборудования нетривиальные задачи молодой и дружный коллектив, чай-кофе, печенье и пинг-понг ;Люмипроб Рус;2023-06-08;
python developer;;150000.0;200000;Python,Backend,HTML,CSS,API,Swagger;"Swapster — это мультивалютный криптокошелёк, разработанный людьми для людей. Наш колоссальный опыт в сфере Blockchain-технологий позволил создать удобный, функциональный и востребованный инструмент, завоевавший доверие тысячей пользователей уже на старте. Мы - команда Swapster обеспечиваем информационную безопасность российским и зарубежным клиентам благодаря своим разработкам в сфере blockchain. Наши продукты инновационны и делают финансовую деятельность понятной, безопасной и удобной. В этом году планируем выход на европейский и азиатский рынки, а также посетить десятки форумов, выставок и конференций, связанных с Blockchain, WEB 3.0, FinTech. Сейчас мы в поиске python developer в нашу команду Обязанности:  Участие в проектировании архитектуры Разработка CRM (back office) Разработка backend (front office) Интеграция API Адаптация верстки для backend  Требования:   Опыт коммерческой разработки от 2х лет Знание ООП и паттернов проектирования Уверенное владение одним из фрейморков (Django, Flask, aiohttp) Опыт работы с РСУБД (MySQL/PostgreSQL), знание SQL и ORM Опыт работы с брокерами сообщений, celery Опыт написания API, работы со swagger, openapi Умение покрывать свой код автотестами (pytest, tox, mock) и пользоваться линтерами (flake8, pylint, mypy) Знание HTML и CSS (для мелких исправлений и адаптации верстки для шаблонизатора)  Как преимущество:  Опыт разработки и проектирования сервисов с нуля Самостоятельность  Условия:      Удаленный или гибридный (офис МСК+удаленка) формат работы;   ЗП по итогам собеседования с кандидатом;   Реальная перспектива карьерного и финансового роста;   Уникальная возможность развиваться вместе с крутым технологичным проектом.   Откликайтесь на вакансию, а в сопроводительном письме укажите ваш опыт коммерческой разработки.";B.ART;2023-06-08;
специалист по обработке данных / python программист;;130000.0;150000;Spark,Pandas,Python,Работа с базами данных,SQL,Базы данных,Работа с большим объемом информации,Анализ данных,PostgreSQL;"Мы ищем человека с опытом обработки больших массивов данных. В основные обязанности входит:  Очистка баз данных; Профиллирование данных; Приведение наборов данных к заданному формату; Формирование связей между объектами; Написание скриптов для автоматизации.  Требования:  Знание Python, работа с библиотекой Pandas или аналогами; Хорошие базовые знания SQL (JOIN, подзапросы); Внимательность.  Условия:  Оформление по ТК РФ, оплачиваемый отпуск, больничный; График работы 5/2 (понедельник-пятница); Комфортабельный офис в 5 минутах от м. Белорусская. При согласовании возможен гибридный формат или удаленка; Аккредитованная IT-компания. ";СПЕЙС МЕДИА ГРУПП;2023-06-08;
python-разработчик;;200000.0;230000;Python,PostgreSQL,RabbitMQ,Django Framework,Docker;"Мы разрабатываем новое B2B SaaS приложение международного уровня, способное полностью цифровизировать цепочку поставок POS-материалов начиная от сбора потребности заканчивая установкой в торговой точке. Нашими клиентами уже являются крупные транснациональные компании из сегмента FMCG: Mars, Duracell, Henkel и т.п. Мы в происках Python-разработчика для работы над динамичным и быстро развивающимся продуктом в области логистики. Будет круто, если ты готов предлагать архитектурные решения и принимать активное участие в проектировании архитектуры продукта.   Обязательные навыки и опыт: - Опыт коммерческой разработки на Python 3.7+ от 2х лет; - Опыт работы с Django, DRF; - Опыт и понимание принципа работы очередей сообщений (RabbitMQ, ActiveMQ); - Знание SQL, с реляционными базами данных (очень желательно PostgreSQL); - Умение оптимизировать запросы; - Понимание работы Rest API и клиент серверных приложений; - Умение разбираться в чужом коде, codereview.   Будет плюсом: - Фреймворки Flask, FastAPI; - Опыт написания unit-тестов, TDD; - Опыт с Docker, настройка CI/CD; - asyncio (async/await), фреймворк aiohttp; - Знание фронтенд фреймворка (Vue, React, Angular); - Английский язык на техническом уровне.   Условия: - Работа в продуктовой компании с атмосферой стартапа; - Гибридный формат работы; - Профессиональное развитие: литература, конференции, митапы; - Чай/кофе/печеньки в офисе.";ИНСКОМ;2023-06-10;
разработчик c# / python;;300000.0;500000;С#,Python,ASP.NET,.net core,Linux;"ООО «Дубайт» — это FinTech компания, специализирующаяся на разработке программного обеспечения для финансовых организаций, применяющих в своей деятельности алгоритмические и высокочастотные стратегии (HFT) на биржевых и внебиржевых рынках В проект в сфере высокочастотной торговли ищем талантливого Разработчика С# (уровня middle-senior), желающего развиваться в области разработки торговых систем и приложений, работающих с биржевой инфраструктурой по всему миру. Основные задачи: • Разработка систем анализа, обработки и визуализации данных, в т.ч. Big data;• Автоматизация бизнес-операций и интеграция с текущими процессами. Наши ожидания: • Опыт разработки приложений на базе С# под .NET Core от 3 лет;• Опыт работы с Python 3 (numpy, pandas, sklearn) от 1 года;• Опыт использования Linux (bash, ssh);• Знание фундаментальных структур данных и алгоритмов;• Способность решать нестандартные задачи. Что будет плюсом: • Интерес к финансовым рынкам;• Понимание принципов биржевой торговли; Мы предлагаем: • Оформление в соответствие с ТК РФ;• Конкурентную зарплату по результатам собеседования;• Гибкий рабочий график (полная занятость);• Комфортабельный офис с прекрасным видом в 7 минутах от м. Проспект Вернадского (г. Москва);• Возможен удаленный формат работы;• Неограниченные возможности для профессионального роста, поддержку в развитии и обучении;• Широкий спектр интересных задач;• Профессиональный и молодой коллектив. Ждем тебя в нашей команде!  ";Дубайт;2023-06-08;
разработчик python;;150000.0;;Docker,PostgreSQL,MongoDB,Redis,Elasticsearch,SQL,Git,Gitlab,Bitbucket,ООП,NoSQL,Python;"Мы продолжаем поиск авантюристов, инициативных и наполненных энтузиазмом сотрудников в небольшую (пока) молодую (тоже пока) продуктовую команду. Наши основные текущие продукты - бонусная система для часто летающих пассажиров, система доступа в бизнес-залы и сервисы по автоматизации бизнесов в аэропортах. У нас уже больше 450.000 активных пользователей, более 150 подключенных бизнес-залов, успешное партнерство с платежными системами, банками и интеграции с авиакомпаниями. Мы ожидаем дальнейший прирост как пользователей наших сервисов, так и партнерской базы ! Впереди нас ждет модернизация наших мобильных приложений и введение большого объема дополнительного функционала, новые интеграции с крупными партнерами из мира финансов, из сферы авиаперевозок и туризма. Посмотреть продукт можно тут: ⁃ iOS: apps.apple.com/ru/app/mileonair/id1527781591 ⁃ android: play.google.com/store/apps/details?id=com.mileonair&amp;hl=ru&amp;gl=US Наш текущий стэк: ⁃ Python 3.7+ ⁃ Aiohttp, FastApi ⁃ PostgreSQL, MongoDB, Redis, ElasticSearch ⁃ Kafka ⁃ Docker Обязанности:   Разработка новых и рефакторинг уже существующих микросервисов (у нас много легаси!);   Сопровождение и документирование написанного кода;   Взаимодействие с мобильными разработчиками, тестировщиками, front-end разработчиками и дизайнерами;   Участие в проектировании систем.   Требования:   Владение Python 3;   Знание SQL (PostgreSQL);   Опыт написания rest api;   Умение работать с Git-системами (GitLab, bitbucket, etc.);   Умение тестировать свой код;   Умение разбирать чужой код;   Умение проектировать решение на основе предоставленного дизайна;   Знание алгоритмов и структур данных;   Знание шаблонов проектирования;   Понимание клиент-серверной архитектуры;   Высшее техническое образование (или неоконченное высшее, если еще обучаетесь) или релевантный опыт работы от 2-х лет;   Умение читать техническую документацию (в т. ч. на английском языке);  Высокие коммуникативные навыки, ответственность, умение работать в режиме многозадачности, активная жизненная позиция, общая эрудиция и развитое творческое мышление.  Преимуществом будет:   Владение ООП-языками;   Опыт работы с noSQL-бд;   Активное прохождение специализированных программ повышения квалификации.   Условия:  Комфортабельный офис рядом с м. Багратионовская - ул.Барклая д.6 строение 5; Официальное оформление согласно ТК РФ; Высокий уровень заработной платы, премии, уровень заработной платы обсуждается; индивидуально с успешным кандидатом; Профессиональное обучение, в работе используются современные технологии и методы; Дружный коллектив, демократичное руководство; Возможность профессионального и карьерного роста. ";Нейрон;2023-06-10;
ml/ai engineer;;495867.76859504136;;;ML/AI Engineer, Middle/Senior, novaco.io Место работы: Дубай \ удаленная работа Гросс от $6000 (полный рабочий день) Мы – профессионалы в сфере e-Commerce, с более чем 15 летним опытом разработки и внедрений технологических решений, эксплуатации и поддержки. Набираем команду для создания нового продукта с использованием технологий AI (в частности генерации изображений) для мира Fashion-индустрии. Мы предоставим возможность брендам, мерчантам и производителям создавать каталог товаров без привлечения живых и дорогостоящих профессиональных моделей, а также специализированного оборудования. Какие задачи ждут:  Участие в разработке и выводе на рынок нового AI продукта Изучение научных статей, генерирование гипотез и постановка экспериментов на их основе в области CV и генерации изображений Организация и постановка задач на разметку и подготовку данных для обучения Обучение моделей и последующая валидация  Ожидаем:  Опыт от 3-х лет в сфере машинного обучения Профессиональное владение Python-стеком и фрейморками (PyTorch, Tensorflow) для задач машинного обучения Опыт разработки и вывода ML в production Крепкие знания теоретических основ, линейной алгебры, архитектур NN и основных значимых подходах – transformers, finetuning, latent diffusion, lora и другие Желание постоянно совершенствоваться и узнать новое в мире AI Пунктуальность и открытость в диалогах и проблемах Уверенное владение английским языком  Мы предлагаем:  Комфортный офис в Дубае и помощь с релокацией / возможность удаленной работы Отсутствие бюрократии и классную команду, которая увлечена своей работой Максимум сложных, но интересных задач в сфере машинного обучения Высокий уровень свободы — есть возможность проверять свои гипотезы, экспериментировать и реально влиять на конечный продукт Свободный график, самое главное - это результаты Бонусы по факту go-live продукта Перспективы роста как в рамках проекта, так и группы Novaco в целом ;Novaco;2023-06-09;
junior data engineer (data steward);junior;85000.0;;;"Describe your experience with pools of industrial data   Job Description: We are seeking a skilled and motivated Junior Data Engineer to join our team. As a Junior Data Engineer, you will be responsible for data pipelines and ETL processes, ensuring data accuracy and consistency. Your role will involve working with big industrial data time series, implementing data stewardship practices, and maintaining data infrastructure for optimal performance. Responsibilities:  Design, build, and optimize data pipelines and ETL processes to extract, transform, and load data from various sources. Process and analyze big industrial data time series, applying appropriate techniques for data filtering and processing. Implement data quality and governance processes to ensure data quality. Conduct regular data updates, maintenance, and monitoring. Ensure data availability by maintaining data infrastructure. Collaborate with cross-functional teams to understand data requirements and implement effective solutions. Identify data sources, acquire and integrate data into the data ecosystem. Utilize Python for data processing and scripting tasks. Stay updated with emerging technologies and industry trends in data engineering and stewardship practices. Document technical specifications, data flows, and system architecture.  Requirements:  Bachelor&#39;s or Master&#39;s degree in Computer Science, Engineering, or related field. Proven experience in handling large-scale data engineering projects. Strong proficiency in Python for data processing and scripting. In-depth knowledge of designing, building, and optimizing data pipelines and ETL processes. Experience with big data processing, analysis, and storage. Expertise in data filtering and processing techniques for large datasets. Familiarity with data stewardship principles, including data updates and maintenance. Understanding of data quality and governance processes for ensuring accuracy and consistency. Ability to monitor and maintain high-performance data infrastructure. Proficiency in cloud-based data platforms (e.g., AWS, Azure, GCP). Strong problem-solving and analytical skills. Excellent communication and collaboration abilities. Good command of the English language.    *You can work remotely from any city.  ";Ангара Сервис;2023-06-10;
